Neighborhood,Latitude,Longitude,Above 18 Population,All Restaurant Count,Chinese Restaurant Count,Venue Tips Count,Venue User Counts,Venue Checkin Counts,Venue Visits Counts
Borivali,19.2307329,72.856673,327975.0,46,4,8.672413793103448,325.5,468.2413793103448,706.3448275862069
Dahisar,19.2497344,72.85937829999997,312006.0,41,3,7.254545454545455,347.76363636363635,1044.5272727272727,1464.8181818181818
Magathane,19.2202063,72.8666866,306369.0,22,0,5.057142857142857,305.6,799.9714285714285,1049.6857142857143
Mulund,19.1720208,72.95635070000002,305878.0,70,7,7.758620689655173,281.9425287356322,511.735632183908,774.7011494252873
Vikhroli,19.091182,72.92086359999998,234880.0,57,3,12.047619047619047,467.25396825396825,940.8095238095239,1306.7936507936508
Bhandup West,19.1509879,72.93152509999999,296610.0,34,1,5.617021276595745,300.06382978723406,634.2765957446809,853.468085106383
Jogeshwari East,19.1438971,72.8427707,286826.0,30,5,20.458333333333332,565.5,982.25,1382.9166666666667
Dindoshi,19.1762177,72.8616978,294966.0,38,2,16.170212765957448,732.6595744680851,1526.4893617021276,1906.0851063829787
Kandivali East,19.1998211,72.84259399999998,270721.0,37,2,8.0,380.2093023255814,810.2558139534884,1199.8139534883721
Charkop,19.2100454,72.8183494,306447.0,26,4,5.224137931034483,190.32758620689654,298.8965517241379,426.36206896551727
Malad West,19.188954100000004,72.835543,297683.0,54,6,16.0,726.3859649122807,1469.561403508772,1866.4912280701753
Goregaon,19.1662566,72.8525696,337688.0,31,1,10.095238095238095,406.1904761904762,799.8095238095239,1157.7619047619048
Versova,19.1350852,72.8146101,209407.0,28,4,18.458333333333332,686.4166666666666,1022.2916666666666,1520.875
Andheri West,19.1363246,72.82766,256600.0,61,6,18.92753623188406,751.7101449275362,1158.5797101449275,1757.5652173913043
Andheri East,19.113645,72.8697339,273219.0,64,2,10.525,645.225,891.8875,1283.9
Vile Parle,19.096792800000006,72.8516953,270735.0,67,3,30.875,1975.2777777777778,3504.5416666666665,5360.555555555556
Chandivali,19.1074911,72.90176029999998,417734.0,49,3,23.92,869.18,1315.22,1880.78
Ghatkopar West,19.0908063,72.90766690000002,285276.0,9,0,6.0,201.16666666666666,276.6666666666667,414.0
Ghatkopar East,19.0785988,72.91014559999998,249807.0,25,0,11.75,429.875,723.28125,1124.9375
Mankhurd Shivaji Nagar,19.0637445,72.925386,228358.0,3,0,3.0,370.5,549.5,677.0
Anushakti Nagar,19.037921,72.9227572,241587.0,5,1,4.416666666666667,211.41666666666666,336.25,521.5
Chembur,19.0327996,72.89635679999998,276701.0,27,2,8.418604651162791,303.30232558139534,684.0697674418604,964.4883720930233
Kurla,19.0726295,72.8844721,239207.0,36,3,11.837837837837839,629.027027027027,1181.8648648648648,1661.7567567567567
Kalina,19.076277,72.8653997,226508.0,44,3,14.5,935.7777777777778,1287.111111111111,1926.888888888889
Bandra East,19.062493,72.85519599999998,226508.0,34,1,10.794117647058824,561.7941176470588,722.1470588235294,1135.8823529411766
Bandra West,19.054772,72.830338,226508.0,70,3,33.022222222222226,1434.911111111111,2115.1222222222223,3147.2
Dharavi,19.0380334,72.8537589,211000.0,29,1,26.51851851851852,589.8888888888889,866.8888888888889,1334.5555555555557
Sion Koliwada,19.0398768,72.87074799999998,251322.0,25,0,15.04,491.72,752.72,1104.44
Wadala,19.0148695,72.86314300000002,194776.0,15,0,6.086956521739131,254.1304347826087,407.17391304347825,694.0869565217391
Mahim,19.0353849,72.8423036,230050.0,48,7,19.03921568627451,571.6666666666666,943.7843137254902,1369.0980392156862
Worli,18.9986406,72.8173599,262507.0,37,1,26.67241379310345,1490.0,2656.7241379310344,3531.7758620689656
Shivadi,18.9924132,72.85471640000002,270308.0,28,2,7.396551724137931,417.1896551724138,639.4655172413793,976.6034482758621
Byculla,18.975024,72.82951760000002,224686.0,42,4,23.3,1054.5333333333333,1493.2333333333333,2274.233333333333
Malabar Hill,18.9547975,72.7984522,260510.0,68,4,10.291139240506329,531.6075949367089,787.2911392405064,1236.5949367088608
Mumbadevi,18.9519709,72.83073359999999,233527.0,73,5,30.3,1458.175,2277.3125,3309.1125
Colaba,18.9067031,72.8147123,248586.0,87,6,26.455555555555556,1294.5,1678.9555555555555,2335.0444444444443
